"","Picture","Mask.center.1.inside.Mask.2","Ripley.s.K.of.2.coloc..with.1","SODA.of.2.coloc..with.1"
"602",70,0,0.35,0.36
"603",70,0.01,0.35,0.37
"604",70,0.03,0.47,0.33
"605",70,0.01,0.38,0.32
"606",70,0.01,0.25,0.24
"607",70,0.02,0.49,0.45
"608",70,0.03,0.48,0.39
"609",70,0.03,0.4,0.3
"610",70,0.06,0.47,0.39
"611",70,0.01,0.45,0.37
"612",70,0.04,0.49,0.45
"613",70,0,0.31,0.3
"614",70,0.02,0.48,0.4
"615",70,0,0.42,0.43
"616",70,0.01,0.51,0.39
"617",70,0.04,0.38,0.29
"618",70,0,0.48,0.38
"619",70,0.01,0.63,0.47
"620",70,0.01,0.27,0.24
"621",70,0.04,0.42,0.29
"622",70,0,0.29,0.29
"623",70,0.01,0.43,0.44
"624",70,0.03,0.47,0.37
"625",70,0.01,0.43,0.38
"626",70,0,0.31,0.26
"627",70,0,0.31,0.22
"628",70,0.03,0.56,0.4
"629",70,0.01,0.38,0.22
"630",70,0.03,0.57,0.45
"631",70,0.06,0.59,0.29
"632",70,0,0.43,0.37
"633",70,0,0.27,0.24
"634",70,0.02,0.34,0.28
"635",70,0.01,0.43,0.38
"636",70,0.02,0.32,0.29
"637",70,0,0.54,0.51
"638",70,0.05,0.45,0.33
"639",70,0.05,0.49,0.36
"640",70,0.03,0.46,0.33
"641",70,0.03,0.69,0.29
"642",70,0,0.35,0.3
"643",70,0.02,0.49,0.39
"644",70,0,0.49,0.37
"645",70,0,0.37,0.3
"646",70,0.03,0.38,0.31
"647",70,0.03,0.51,0.34
"648",70,0.03,0.43,0.31
"649",70,0.01,0.33,0.33
"650",70,0.03,0.31,0.23
"651",70,0.03,0.45,0.46
"652",70,0.06,0.51,0.4
"653",70,0.01,0.39,0.38
"654",70,0.01,0.51,0.45
"655",70,0.01,0.49,0.39
"656",70,0.01,0.4,0.28
"657",70,0,0.49,0.46
"658",70,0.03,0.42,0.29
"659",70,0.03,0.46,0.39
"660",70,0,0.25,0.21
"661",70,0.02,0.41,0.28
"662",70,0.01,0.36,0.18
"663",70,0.02,0.63,0.41
"664",70,0.01,0.4,0.32
"665",70,0.06,0.52,0.33
"666",70,0,0.38,0.37
"667",70,0.01,0.51,0.41
"668",70,0.01,0.45,0.34
"669",70,0.07,0.54,0.49
"670",70,0.03,0.4,0.29
"671",70,0.04,0.42,0.33
"672",70,0.02,0.59,0.4
"673",70,0,0.46,0.4
"674",70,0.02,0.48,0.47
"675",70,0.01,0.4,0.29
"676",70,0.04,0.55,0.44
"677",70,0.01,0.31,0.33
"678",70,0.01,0.59,0.52
"679",70,0.01,0.44,0.35
"680",70,0.01,0.4,0.38
"681",70,0,0.44,0.35
"682",70,0,0.52,0.35
"683",70,0.02,0.5,0.42
"684",70,0,0.44,0.42
"685",70,0,0.46,0.37
"686",70,0.02,0.4,0.36
"687",70,0.02,0.49,0.42
"688",70,0,0.36,0.37
"689",70,0.01,0.54,0.36
"690",70,0.03,0.55,0.39
"691",70,0.01,0.31,0.3
"692",70,0,0.34,0.38
"693",70,0,0.46,0.44
"694",70,0.01,0.48,0.43
"695",70,0.04,0.41,0.3
"696",70,0.05,0.5,0.42
"697",70,0,0.53,0.51
"698",70,0.06,0.47,0.36
"699",70,0.01,0.32,0.33
"700",70,0,0.46,0.44
"701",80,0.03,0.31,0.31
"702",80,0.06,0.55,0.44
"703",80,0.05,0.65,0.45
"704",80,0.01,0.41,0.36
"705",80,0,0.45,0.46
"706",80,0.01,0.35,0.29
"707",80,0.03,0.49,0.45
"708",80,0.04,0.56,0.47
"709",80,0.02,0.48,0.43
"710",80,0,0.54,0.51
"711",80,0.02,0.65,0.52
"712",80,0,0.48,0.42
"713",80,0.02,0.32,0.22
"714",80,0,0.35,0.25
"715",80,0.03,0.63,0.54
"716",80,0.03,0.65,0.52
"717",80,0.02,0.35,0.31
"718",80,0,0.7,0.51
"719",80,0.03,0.57,0.4
"720",80,0.02,0.35,0.33
"721",80,0.03,0.58,0.42
"722",80,0.02,0.48,0.39
"723",80,0.01,0.59,0.57
"724",80,0,0.56,0.43
"725",80,0.01,0.5,0.45
"726",80,0.03,0.81,0.42
"727",80,0.01,0.31,0.23
"728",80,0.04,0.44,0.27
"729",80,0,0.45,0.39
"730",80,0.03,0.45,0.45
"731",80,0.04,0.51,0.41
"732",80,0.03,0.48,0.34
"733",80,0.03,0.55,0.39
"734",80,0.02,0.49,0.4
"735",80,0,0.35,0.3
