"","FileName","Frame","Channel","ChannelColoc","ColocSignalBased","ColocSizeBased","ColocObjectsNumber","MeanIntensity","PearsonCorr","PearsonCorrMasked"
"293","40_3_Composite.tif",0,0,1,0.4119,0.4542,0.2666,0.1612,0.3678,0.3678
"393","40_3_Composite.tif",0,1,0,0.1843,0.1733,0.1538,0.0891,0.3678,0.3678
"294","40_4_Composite.tif",0,0,1,0.1721,0.1958,0.1923,0.0684,0.2344,0.2344
"394","40_4_Composite.tif",0,1,0,0.1787,0.1736,0.0769,0.0434,0.2344,0.2344
"295","40_5_Composite.tif",0,0,1,0.3332,0.356,0.3181,0.1314,0.3357,0.3357
"395","40_5_Composite.tif",0,1,0,0.1742,0.1689,0.2352,0.0886,0.3357,0.3357
"296","40_6_Composite.tif",0,0,1,0.5096,0.5166,0.5,0.1846,0.3779,0.3779
"396","40_6_Composite.tif",0,1,0,0.1683,0.1636,0,0.0517,0.3779,0.3779
"297","40_7_Composite.tif",0,0,1,0.5255,0.555,0.5862,0.2048,0.4393,0.4393
"397","40_7_Composite.tif",0,1,0,0.2034,0.2127,0,0.115,0.4393,0.4393
"298","40_8_Composite.tif",0,0,1,0.8992,0.8903,0.8888,0.3403,0.5923,0.5923
"398","40_8_Composite.tif",0,1,0,0.256,0.2574,0,0.0675,0.5923,0.5923
"299","40_9_Composite.tif",0,0,1,0.5749,0.5965,0.3461,0.1537,0.4922,0.4922
"399","40_9_Composite.tif",0,1,0,0.3293,0.3218,0.25,0.1293,0.4922,0.4922
